,0,1,2,3
126,110.0,24.0,10.915963,4.0
127,118.0,33.0,11.160177,1.0
128,131.0,42.0,5.549601,1.0
129,145.0,31.0,2.18692,1.0
130,211.0,50.0,11.264906,5.0
131,162.0,19.0,4.459511,1.0
132,222.0,37.0,4.217236,5.0
133,106.0,37.0,16.361128,4.0
134,65.0,28.0,8.994984,0.0
135,151.0,21.0,5.292105,1.0
136,170.0,26.0,9.892629,1.0
137,114.0,19.0,8.826625,4.0
138,70.0,21.0,14.994514,0.0
139,123.0,57.0,20.922908,1.0
140,103.0,35.0,21.03733,4.0
141,172.0,21.0,20.484293,1.0
142,107.0,33.0,28.132721,4.0
143,160.0,28.0,13.58582,1.0
144,98.0,34.0,17.391843,4.0
145,85.0,30.0,14.052238,4.0
146,90.0,25.0,12.841704,4.0
147,85.0,23.0,21.646024,4.0
148,93.0,24.0,12.728468,4.0
149,85.0,28.0,33.564783,4.0
150,82.0,23.0,16.371681,4.0
151,159.0,30.0,20.460078,1.0
152,122.0,32.0,14.997851,1.0
153,153.0,29.0,8.920455,1.0
154,106.0,47.0,9.524982,4.0
155,93.0,34.0,10.791086,4.0
156,110.0,26.0,10.551317,4.0
157,119.0,46.0,8.436756,1.0
158,116.0,50.0,13.732147,4.0
159,105.0,33.0,21.22945,4.0
160,114.0,27.0,24.660897,4.0
161,127.0,17.0,16.255811,1.0
162,79.0,20.0,20.88739,4.0
163,110.0,6.0,20.489837,4.0
164,92.0,19.0,18.373028,4.0
165,74.0,12.0,10.305899,4.0
166,88.0,9.0,13.052963,4.0
167,90.0,24.0,10.875754,4.0
168,90.0,9.0,11.06955,4.0
169,83.0,19.0,12.238601,4.0
170,125.0,9.0,11.845861,1.0
171,62.0,21.0,23.735199,0.0
172,79.0,11.0,19.649577,4.0
173,90.0,12.0,16.82592,4.0
174,208.0,18.0,11.467454,5.0
175,66.0,8.0,17.903433,0.0
176,54.0,15.0,9.440851,0.0
177,70.0,13.0,12.200732,0.0
178,43.0,24.0,20.870337,0.0
179,143.0,17.0,15.142789,1.0
180,75.0,33.0,20.466133,4.0
181,76.0,19.0,21.897908,4.0
182,77.0,15.0,12.581639,4.0
183,62.0,12.0,11.227714,0.0
184,57.0,5.0,12.036522,0.0
185,69.0,26.0,18.267694,0.0
186,97.0,16.0,33.526786,4.0
187,16.0,55.0,10.142996,0.0
188,50.0,34.0,25.541126,0.0
189,34.0,21.0,11.2375,0.0
190,39.0,15.0,12.394131,0.0
191,36.0,10.0,12.285012,0.0
192,75.0,20.0,10.208055,4.0
193,134.0,7.0,11.652588,1.0
194,79.0,25.0,9.727749,4.0
195,63.0,13.0,17.829859,0.0
196,66.0,9.0,22.239932,0.0
197,103.0,21.0,12.947431,4.0
198,97.0,18.0,12.9362,4.0
199,170.0,19.0,34.981643,1.0
200,82.0,23.0,17.368069,4.0
201,66.0,11.0,10.135056,0.0
202,68.0,19.0,21.585117,0.0
203,56.0,9.0,20.441007,0.0
204,112.0,20.0,29.68686,4.0
205,101.0,19.0,10.733975,4.0
206,74.0,44.0,8.460432,4.0
207,67.0,16.0,12.609801,0.0
208,126.0,24.0,24.101404,1.0
209,100.0,16.0,13.620732,4.0
210,60.0,21.0,21.865133,0.0
211,92.0,21.0,12.577341,4.0
212,65.0,38.0,22.777778,0.0
213,265.0,57.0,15.647332,5.0
214,93.0,39.0,30.105945,4.0
215,180.0,19.0,29.492668,1.0
216,41.0,18.0,24.002954,0.0
217,95.0,16.0,13.730839,4.0
218,484.0,33.0,13.544934,2.0
219,87.0,34.0,18.719864,4.0
220,138.0,50.0,9.836858,1.0
221,25.0,33.0,17.60555,0.0
222,119.0,28.0,8.070396,1.0
223,46.0,37.0,17.233233,0.0
224,76.0,37.0,18.93959,4.0
225,181.0,21.0,9.073691,1.0
226,105.0,14.0,14.872321,4.0
227,26.0,59.0,17.429361,0.0
228,163.0,17.0,8.851279,1.0
229,97.0,29.0,16.436944,4.0
230,83.0,56.0,17.582938,4.0
231,73.0,20.0,16.661407,4.0
232,78.0,13.0,27.07912,4.0
233,103.0,37.0,8.672542,4.0
234,190.0,30.0,12.586516,1.0
235,114.0,9.0,6.995563,4.0
236,82.0,18.0,12.289408,4.0
237,56.0,30.0,9.516477,0.0
238,48.0,9.0,9.794889,0.0
239,86.0,17.0,27.542495,4.0
240,63.0,26.0,14.699365,0.0
241,35.0,27.0,14.559771,0.0
242,42.0,25.0,8.585625,0.0
243,50.0,6.0,17.425474,0.0
244,55.0,9.0,17.763698,0.0
245,54.0,76.0,10.044313,0.0
246,89.0,22.0,7.055774,4.0
247,64.0,28.0,20.295353,0.0
248,52.0,22.0,8.792332,0.0
249,58.0,25.0,16.156595,0.0
250,26.0,38.0,9.452736,0.0
251,77.0,19.0,28.510884,4.0
252,61.0,8.0,28.521904,0.0
253,28.0,28.0,18.757792,0.0
254,72.0,30.0,17.882859,4.0
255,80.0,13.0,9.363879,4.0
256,167.0,6.0,20.420331,1.0
257,53.0,21.0,31.454802,0.0
258,44.0,18.0,23.825557,0.0
259,26.0,44.0,16.329911,0.0
260,109.0,10.0,12.392184,4.0
261,66.0,11.0,6.488089,0.0
262,21.0,10.0,6.356356,0.0
263,72.0,22.0,9.22473,4.0
264,102.0,12.0,20.984529,4.0
265,69.0,8.0,5.961851,0.0
266,68.0,12.0,10.702985,0.0
267,50.0,17.0,5.492942,0.0
268,87.0,10.0,5.838433,4.0
269,124.0,12.0,8.493288,1.0
270,71.0,16.0,7.343284,0.0
271,73.0,21.0,9.476576,4.0
272,44.0,27.0,6.932511,0.0
273,36.0,15.0,8.731977,0.0
274,69.0,21.0,5.530872,0.0
275,80.0,14.0,7.370309,4.0
276,68.0,31.0,8.161605,0.0
277,60.0,13.0,10.877005,0.0
278,100.0,22.0,6.202501,4.0
279,74.0,37.0,6.444081,4.0
280,77.0,35.0,9.401516,4.0
281,37.0,27.0,6.073355,0.0
282,37.0,23.0,14.491407,0.0
283,106.0,20.0,4.835681,4.0
284,68.0,20.0,10.009169,0.0
285,131.0,28.0,5.907072,1.0
286,179.0,15.0,22.660735,1.0
287,68.0,20.0,4.121515,0.0
288,66.0,28.0,14.792269,0.0
289,42.0,20.0,10.199862,0.0
290,125.0,17.0,11.586207,1.0
291,90.0,11.0,7.52775,4.0
292,57.0,12.0,14.09934,0.0
293,62.0,16.0,6.623955,0.0
294,82.0,5.0,9.893507,4.0
295,89.0,18.0,28.747638,4.0
296,104.0,21.0,10.304622,4.0
297,65.0,16.0,8.119447,0.0
298,65.0,23.0,8.041813,0.0
299,53.0,12.0,7.111572,0.0
300,49.0,32.0,13.245407,0.0
301,71.0,19.0,20.10021,0.0
302,37.0,30.0,16.998762,0.0
303,65.0,26.0,6.539054,0.0
304,110.0,7.0,8.741794,4.0
305,33.0,50.0,6.471989,0.0
306,56.0,26.0,5.988746,0.0
307,52.0,42.0,37.016916,0.0
308,50.0,15.0,7.27751,0.0
309,59.0,17.0,5.06631,0.0
310,85.0,27.0,5.162023,4.0
311,40.0,23.0,5.228758,0.0
312,26.0,9.0,10.122529,0.0
313,96.0,19.0,9.1461,4.0
314,41.0,14.0,11.424675,0.0
