id,price,stations,crime rate,group
E02000124,87,15,0.004060765,4
E02000125,92,18,0.007610209,4
E02000126,109,23,0.012829622,4
E02000127,110,24,0.010915963,4
E02000128,118,33,0.011160177,1
E02000130,131,42,0.005549601,1
E02000131,145,31,0.00218692,1
E02000132,211,50,0.011264906,5
E02000133,162,19,0.004459511,1
E02000134,222,37,0.004217236,5
E02000135,106,37,0.016361128,4
E02000136,65,28,0.008994984,0
E02000137,151,21,0.005292105,1
E02000138,170,26,0.009892629,1
E02000139,114,19,0.008826625,4
E02000140,70,21,0.014994514,0
E02000141,123,57,0.020922908,1
E02000142,103,35,0.02103733,4
E02000144,172,21,0.020484293,1
E02000145,107,33,0.028132721,4
E02000146,160,28,0.01358582,1
E02000147,98,34,0.017391843,4
E02000148,85,30,0.014052238,4
E02000149,90,25,0.012841704,4
E02000150,85,23,0.021646024,4
E02000151,93,24,0.012728468,4
E02000152,85,28,0.033564783,4
E02000153,82,23,0.016371681,4
E02000154,159,30,0.020460078,1
E02000155,122,32,0.014997851,1
E02000156,153,29,0.008920455,1
E02000157,106,47,0.009524982,4
E02000158,93,34,0.010791086,4
E02000159,110,26,0.010551317,4
E02000160,119,46,0.008436756,1
E02000161,116,50,0.013732147,4
E02000162,105,33,0.02122945,4
E02000163,114,27,0.024660897,4
E02000165,127,17,0.016255811,1
E02006782,79,20,0.02088739,4
E02006787,110,6,0.020489837,4
E02006789,92,19,0.018373028,4
E02000166,74,12,0.010305899,4
E02000167,88,9,0.013052963,4
E02000168,90,24,0.010875754,4
E02000169,90,9,0.01106955,4
E02000170,83,19,0.012238601,4
E02000171,125,9,0.011845861,1
E02000172,62,21,0.023735199,0
E02000173,79,11,0.019649577,4
E02000174,90,12,0.01682592,4
E02000175,208,18,0.011467454,5
E02000176,66,8,0.017903433,0
E02000177,54,15,0.009440851,0
E02000178,70,13,0.012200732,0
E02000179,43,24,0.020870337,0
E02000180,143,17,0.015142789,1
E02000181,75,33,0.020466133,4
E02000182,76,19,0.021897908,4
E02000183,77,15,0.012581639,4
